frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,http.request.method,http.host,dns.qry.name
Dec 15, 2016 08:17:38.688071000 +07,10.12.15.101,185.153.198.117,49207,80,,,
Dec 15, 2016 08:17:38.688114000 +07,185.153.198.117,10.12.15.101,80,49207,,,
Dec 15, 2016 08:20:37.536038000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:40.546760000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:46.553984000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:48.771279000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:48.771511000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:48.771957000 +07,10.12.15.101,185.153.198.117,49208,80,GET,ggjghhfhfh.com,
Dec 15, 2016 08:20:48.772024000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:48.980253000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:48.980615000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:48.980633000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:48.980789000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:48.980912000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:48.981097000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:48.981169000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:48.981175000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:48.981180000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:48.981326000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:48.981335000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:48.981526000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:48.981690000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:48.982777000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.189572000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.189679000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.189931000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.189939000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.189977000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.189983000 +07,10.12.15.101,185.153.198.117,49208,80,,,
